LEARNING_RATE,TIME_STEP,DENSE,NUM_NODES,EPOCHS,OPTIMIZER,TIME_STEP.1,MAE,MSE,RMSLE,R2
0.001,6,1,20,400,SGD,,0.269898981920878,0.1238418665991162,0.0412985577481939,-0.6785593643915988
0.001,6,1,20,400,ADAM,,0.2060905374209086,0.0691648311318701,0.0328791614201164,0.3610058010641978
0.001,6,1,20,500,SGD,,0.2243087651888529,0.0814728815325482,0.035138475960679,0.2153387657756909
0.001,6,1,20,500,ADAM,,0.1997764045079549,0.0681503612361226,0.0318860492550672,0.4779255064834514
0.001,6,1,30,400,SGD,,0.2607053123792012,0.1008779548000841,0.0392009826411588,-0.2303763464269377
0.001,6,1,30,400,ADAM,,0.1910382100741068,0.0639773900187636,0.030729528853822,0.4843265895633043
0.001,6,1,30,500,SGD,,0.2584970487594604,0.1047947669069141,0.0390747530625299,-0.448876796861471
0.001,6,1,30,500,ADAM,,0.1932986203511555,0.0627572599203815,0.0310316308512025,0.4173376513155515
0.001,6,1,40,400,SGD,,0.2118524057070413,0.0734812985062779,0.0334253298656077,0.3731037781649055
0.001,6,1,40,400,ADAM,,0.1895883388837178,0.0625955371302199,0.0308215587044773,0.5016609641532328
0.001,6,1,40,500,SGD,,0.2112691345532735,0.0787049915653732,0.0339631340290518,0.4379783143234328
0.001,6,1,40,500,ADAM,,0.187576030254364,0.0617777944462281,0.0305862025469533,0.5128464283300186
0.001,7,1,20,400,SGD,,0.2809585962295532,0.1274968148843284,0.0425460922304497,-0.5738176527369325
0.001,7,1,20,400,ADAM,,0.2008415296236673,0.0667465317826547,0.0321505701049541,0.4188427492752023
0.001,7,1,20,500,SGD,,0.197880490207672,0.0661448495092464,0.0317949744998472,0.1971918030127332
0.001,7,1,20,500,ADAM,,0.2160127205530802,0.0783371629515365,0.0335494103642966,0.294274262769251
0.001,7,1,30,400,SGD,,0.2344535802523294,0.0853320828383132,0.036126235707874,0.054132733365011
0.001,7,1,30,400,ADAM,,0.2136800791104634,0.0779935294402276,0.0341354312447808,0.3653319958167991
0.001,7,1,30,500,SGD,,0.2273691452026366,0.0822955291217329,0.0359034991064536,0.0944081475384911
0.001,7,1,30,500,ADAM,,0.1900153453191121,0.0634918629403404,0.0307285005683224,0.5058707132385274
0.001,7,1,40,400,SGD,,0.2574326295852661,0.1048041418305443,0.0393171860056343,-0.0531087629833632
0.001,7,1,40,400,ADAM,,0.2194439178784688,0.0827903564737307,0.0346702294568645,0.3098257445860683
0.001,7,1,40,500,SGD,,0.2013825383504231,0.0696809380732429,0.0326279675855498,0.399735228603795
0.001,7,1,40,500,ADAM,,0.1968477080980937,0.0625245019698651,0.0316522443086898,0.370999480958317
0.001,8,1,20,400,SGD,,0.2309329652786255,0.083775133874529,0.0364432943369848,0.2016265644149336
0.001,8,1,20,400,ADAM,,0.2278641933441162,0.0811528316351595,0.0357629975048184,0.2418437661734716
0.001,8,1,20,500,SGD,,0.2242431690216064,0.0827708378944998,0.0356518042235327,0.0982432383504083
0.001,8,1,20,500,ADAM,,0.216389369169871,0.0767541888761758,0.0341751307442022,0.2757502237378106
0.001,8,1,30,400,SGD,,0.1903219378153482,0.0621027085129228,0.0311190134995513,0.4544266020884133
0.001,8,1,30,400,ADAM,,0.2391748379389445,0.0906319362214745,0.0376123378592658,0.0905166856099537
0.001,8,1,30,500,SGD,,0.2627231486956278,0.1034860164206457,0.0401098020274609,-0.2998259904674888
0.001,8,1,30,500,ADAM,,0.2141042272885641,0.0759725679649642,0.0333782827275107,0.3158950214760808
0.001,8,1,40,400,SGD,,0.2234007088979084,0.0818700955010766,0.035250962990754,0.0944101349697686
0.001,8,1,40,400,ADAM,,0.2121343935966491,0.0814292159520651,0.034505746932368,0.3586892869273707
0.001,8,1,40,500,SGD,,0.2452079043706258,0.0947001589942594,0.0378430096054384,0.1164222076443457
0.001,8,1,40,500,ADAM,,0.20322887461980182,0.07231906891199362,0.03225586957230001,0.4676548575928077
